Name,ID
Miller Applications Technology,MILLER APP
Miller Electric,MILLER ELE
Mini,32
Mini - Europe,EU MINI
Minneapolis Moline,MINNEAPOLI
Mitsubishi,72
Mitsubishi - Europe,EU MITSUB
Mitsubishi Fuso,500
Mitsubishi LCV - Europe,EU MIT LCV
Mitsui-Deutz,MITSUI-DEU
Moffet,MOFFET
Monarch,MONARCH
Morgan - Europe,EU MORGAN
Moto Guzzi,1196
Motorola,MOTOROLA
Mountaineer,MOUNTAINEE
MQ,MQ
MTE Hydraulics,MTE HYDRAU
Murphy Diesel,MURPHY DIE
Mustang,928
MWM Diesel,MWM DIESEL
Nanni,NANNI
New Holland,932
New Idea,933
Niehoff,NIEHOFF
Nissan,67
Nissan - Europe,EU NISSAN
Nissan LCV - Europe,EU NIS LCV
Northern Lights,NORTHERN L
Northman,NORTHMAN
Nova Bus,NOVA BUS
Oldsmobile,51
Oliver,OLIVER
OMC,OMC
Onan,ONAN
Opel,22
Opel - Europe,EU OPEL
Opel LCV - Europe,EU OPEL CV
Oshkosh,1090
Owens Yacht,OWENS YACH
Palmer,PALMER
Panther,1218
Pavemaster,PAVEMASTER
Penn Yan,PENN YAN
Perkins,PERKINS
Peterbilt,560
Peugeot,28
Peugeot - Europe,EU PEUGEOT
Peugeot LCV - Europe,EU PEU LCV
Pleasurecraft,PLEASURECR
Plymouth,43
Poclain,POCLAIN
Polaris,1200
Pontiac,52
Porsche,2
Porsche - Europe,EU PORSCHE
Poyaud,POYAUD
Prairie,PRAIRIE
Premier,PREMIER
Prentice,PRENTICE
Prevost,PREVOST
Princeton Delivery Systems,PRINCETON
Prinoth,PRINOTH
Prochem,PROCHEM
Proton - Europe,EU PROTON
PSI,PSI
Pumptron,PUMPTRON
Ram,1168
Rammax,RAMMAX
Ramrod,RAMROD
Ramsey,RAMSEY
Raptor,RAPTOR
Red D Arc,RED D ARC
Redcat Motors,1231
Reliant - Europe,EU RELIANT
Reliant LCV - Europe,EU RELI CV
Rem,REM
Renault,23
Renault - Europe,EU RENAULT
Renault Couach,RENAULT CO
Renault Heavy Duty - Europe,EU REN HD
Renault LCV - Europe,EU REN LCV
Rex,REX
Rigmaster Power Inc.,RIGMAST
Rogator,ROGATOR
Rolls Royce,70
Roper,ROPER
Rotax Marine - BRP,ROTAX MARI
Rottne Logging Equipment,ROTTNE
Rover Group - Europe,EU ROVER
Rover Group (Austin/Morris) - Europe,EU ROV AM
Rover Group (Riley) - Europe,EU ROV RI
Rover Group (Triumph) - Europe,EU ROV TR
Rover Group (Wolseley) - Europe,EU ROV WO
Rover Group LCV - Europe,EU ROV CV
Ruggerini,RUGGERINI
Saab,65
Saab - Europe,EU SAAB
Sabb,SABB
Sabo,SABO
Sabre,783
Same,954
Samsung,SAMSUNG
Satoh,SATOH
Saturn,53
Scag,786
Scania,SCANIA
Scania Heavy Duty - Europe,EU SCAN HD
Scat Trak,SCAT TRAK
Schaeff-Namco,SCHAEFF
Schaffer,SCHAFFER
Schluter,SCHLUTER
Schramm,SCHRAMM
Schwing,SCHWING
Scion,91
Scott Atwater,SCOTT ATWA
Scotts,788
Sea Bee,SEA BEE
Sea King,SEA KING
Sea-Doo,1203
Sea-Drive,SEA-DRIVE
Seat,615
Seat - Europe,EU SEAT
Seat LCV - Europe,EU SEAT CV
Seennergie,SEENERGIE
Sellick,SELLICK
Shibaura,SHIBAURA
Shuttlewagon,SHUTTLEWAG
Simca,438
Simplicity,790
Ski-Doo,1204
Skoda - Europe,EU SKODA
Skoda LCV - Europe,EU SKODACV
Skyjack,SKYJACK
Slanzi,SLANZI
Smart,484
Smart (MMC) - Europe,EU SMART
Smith,SMITH
Snorkel,SNORKEL
Sno-Way,SNO-WAY
Sole Diesel,SOLE DIESE
Split-Fire,793
Spra-Coupe,SPRA- COUP
Spray Monster,SPRAY_MON
Spray-Air,SPRAY-AIR
SRT,1230
Ssangyong - Europe,EU SSANGY
Star,600
Starrett,STARRETT
Steiger,960
Steiner,794
Sterling,60
Stewart & Stevenson,1098
Steyr,STEYR
Stone,STONE
Stone Industries,STONE_IND
Studebaker,87
Subaru,13
Subaru - Europe,EU SUBARU
Subaru LCV - Europe,EU SUB LCV
Subaru Small Engine,SUBARU SMA
Sullair,SULLAIR
Sumitomo Yale,SUMITOMO Y
Sunbeam,88
Suzuki,1
Suzuki - Europe,EU SUZUKI
Sweepmaster,SWEEPMAS
Tadano,TADANO
Takeuchi,TAKEUCHI
Talbot - Europe,EU TALBOT
Talbot Group LCV - Europe,EU TAL LCV
Tanguay,TANGUAY
TCM Equipment,TCM EQUIPM
Tecumseh,TECUMSEH
Teledyne,TELEDYNE
Teledyne - Continental,TELEDYNE-C
Teledyne - Wisconsin,TELEDYNE-W
Tennant,TENNANT
Terex,TEREX
Terramite,TERRAMITE
Thermo Electron,THERMO ELE
Thermo King,THERMO KIN
Thomas Built Bus,THOMAS BUI
Thomas Equipment,THOMAS EQU
Tigercat,TIGERCAT
Timberjack,TIMBERJACK
Timberking,TIMBERKING
Timrick,TIMRICK
Tohatsu,TOHATSU
Toro,638
Towmotor,TOWMOTOR
Toyota,76
Toyota - Europe,EU TOYOTA
Toyota LCV - Europe,EU TOY LCV
Trackless,805
Trackmobile,TRACKMOB
Triumph,14
Tropical Diesel Generators,TROPICAL
TVR - Europe,EU TVR
U.S.,U.S.
UD,498
Universal,UNIVERSAL
Valday Heavy Duty - Europe,EU VALD HD
Valeo,VALEO
Valtra Valmet,VALTRA
Vauxhall - Europe,EU VAUXH
Vermeer,1156
Versatile,969
Vetus,VETUS
Victory,1207
VM (Stabilimenti Meccanici),VM (STABIL
Volkswagen,74
Volkswagen - Europe,EU VW
Volkswagen LCV - Europe,EU VW LCV
Volvo,27
Volvo - Europe,EU VOLVO
Volvo Heavy Duty - Europe,EU VOLVOHD
Volvo Penta,VOLVO PENT
Wabco,WABCO
Wacker,WACKER
Walker,640
Warn Industries,WARN_IND
Waukesha,WAUKESHA
West Bend,WEST BEND
Westerbeke,WESTERBEKE
Western Products,WESTERN PR
Western Star,1102
Westward,WESTWARD
White,974
White (Cockshutt),WHITE (COC
White (Mpls Moline),WHITE (MPL
White (Oliver),WHITE (OLI
White (Rio Division),WHITE (RIO
Whiting Corporation,WHITING
Willmar,WILLMAR
Wisconsin,WISCONSIN
Wisconsin Hydraulics,WISCON_HYD
Wisconsin Robbins,WISCONSINR
Yale,YALE
Yamaha,1210
Yanmar,YANMAR
Yugo,15
Yugo - Europe,EU YUGO
Yugo LCV - Europe,EU YUGO LC
Zetor,ZETOR
