makeID,ID,makeName,Name
COCKSHUTT,16,Cockshutt,Combine
COCKSHUTT,Tractors,Cockshutt,Tractor
COCKSHUTT,18,Cockshutt,Windrower
COLEMAN,Generators,Coleman,Generator
COMMANDER,BOAT,Commander,Boat
CONSOL_DIE,Engine,Consolidated Diesel,Engine Heavy Duty
CONSTRUCTI,Graders,Construction Equipment Co.,Grader
CONSTRUCTI,Misc. Truc,Construction Equipment Co.,Misc. Truck
CONSTRUCTI,Tournapuls,Construction Equipment Co.,Tournapul
570,Engines-In,Continental,Engines - Industrial
CORNIVER,Compactors,Corniver,Compactor
CRUSADER,BOAT,Crusader,Boat
627,Mowers - P,Cub Cadet,Mower - Professional
627,MowersRBHD,Cub Cadet,Mower - Ride Behind
627,Mowers - R,Cub Cadet,Mower - Riding
627,Mowers - W,Cub Cadet,Mower - Walk Behind
627,MowersWide,Cub Cadet,Mower - Wide Area
627,Mowers - Z,Cub Cadet,Mower - Zero Turn
627,Tractors C,Cub Cadet,Tractor - Compact
627,Tractors G,Cub Cadet,Tractor - Garden
627,Tractors L,Cub Cadet,Tractor - Lawn
627,TractorsUT,Cub Cadet,Tractor - Utility
627,TractorsZT,Cub Cadet,Tractor - Zero Turn
627,50,Cub Cadet,Utility Vehicle
CUMMINS EN,Engines,Cummins Engines,Engine Medium Duty
CUMMINS_FP,Pumps,Cummins Fire Power,Pump
CUMMINS,Engines-Ma,Cummins Marine Engines,Engine - Marine
CUMMINS ME,Engines-Ma,Cummins Mercruiser,Engine - Marine
CUMMINS ME,Stern Driv,Cummins Mercruiser,Stern Drive
CUSHMAN,Carts,Cushman,Cart
DAF EU,HD TRUCK,DAF - Europe,Heavy Duty
547,Engines-Ma,DAF,Engine - Marine
547,HD TRUCK,DAF,Heavy Duty
DMT_CORP,Misc. Equi,DMT Corporation,Misc. Equipment
EU DACIA,5,Dacia - Europe,Car
EU DAEWOO,5,Daewoo - Europe,Car
18,5,Daewoo,Car
18,Lift Truck,Daewoo,Lift Truck
EU DAIHAT,5,Daihatsu - Europe,Car
EU DAI LCV,6,Daihatsu LCV - Europe,Truck
EU DAI LCV,7,Daihatsu LCV - Europe,Van
19,5,Daihatsu,Car
19,Engines-In,Daihatsu,Engines - Industrial
19,6,Daihatsu,Truck
DAVID_BROW,Tractors F,David Brown,Tractor - Farm
DAVY_COMP,Compressor,Davy Compressors,Compressor
DAYTONA,Engines-Ma,Daytona,Engine - Marine
35,5,DeLorean,Car
DEARBORN,Engines-Ma,Dearborn,Engine - Marine
DEINES,28,Deines,Lawn & Garden Tractor
EU DENNIS,HD TRUCK,Dennis - Europe,Heavy Duty
DETROIT DI,Engines-Ma,Detroit Diesel,Engine - Marine
DEUTZ DITE,Engines-Ma,Deutz Diter,Engine - Marine
DEUTZ,Engines-Ma,Deutz,Engine - Marine
DEUTZ,Engines-In,Deutz,Engines - Industrial
DEUTZ,Loaders,Deutz,Loader
DEUTZ,Tractors,Deutz,Tractor
DEUTZ-ALLI,16,Deutz-Allis,Combine
DEUTZ-ALLI,Tractors,Deutz-Allis,Tractor
879,16,Deutz-Fahr,Combine
879,Tractors,Deutz-Fahr,Tractor
DIAMOND T,HD TRUCK,Diamond T,Heavy Duty
DITCH_WITC,Misc. Equi,Ditch Witch,Misc. Equipment
DITCH_WITC,Plow Motor,Ditch Witch,Plow Motor
DITCH_WITC,Trenchers,Ditch Witch,Trencher
EU DODGE,5,Dodge - Europe,Car
40,5,Dodge,Car
40,2187,Dodge,Medium/Heavy Truck
40,6,Dodge,Truck
40,7,Dodge,Van
DOOSAN,Lift Truck,Doosan,Lift Truck
DORMAN,Engines-Ma,Dorman,Engine - Marine
DOW_WARNER,Misc. Equi,Dow Warner,Misc. Equipment
DRESSER,Cranes,Dresser,Crane
DRESSER,Crawlers,Dresser,Crawlers
DRESSER,Loaders,Dresser,Loader
DRESSER,TrackLoad,Dresser,Track Loader
DRESSER,Track Trac,Dresser,Track Tractor
DRESSER,Tractors,Dresser,Tractor
DRESSER,Truck Unit,Dresser,Truck Unit
DRIFTECH,Misc. Equi,Driftech,Misc. Equipment
DROTT MFG.,Cranes,Drott Mfg.,Crane
DROTT MFG.,Crawlers,Drott Mfg.,Crawlers
DROTT MFG.,Shovels,Drott Mfg.,Shovel
1183,49,Ducati,Street Motorcycle
DYNAPAC,Compactors,Dynapac,Compactor
EU ERF,HD TRUCK,ERF - Europe,Heavy Duty
EZ-GO,Carts,EZ-Go,Cart
EZ-GO,Turf Carts,EZ-Go,Turf Cart
EZ-GO,50,EZ-Go,Utility Vehicle
41,44,Eagle,ATV
41,5,Eagle,Car
41,40,Eagle,Motorcycle
41,2189,Eagle,Scooter
EATON,Lift Truck,Eaton,Lift Truck
EIMCO_JC,Misc. Equi,Eimco Jarvis Clark,Misc. Equipment
ELGIN SWEE,Sweepers,Elgin Sweeper,Sweeper
ENVIRO,Misc. Equi,Enviro-Screene,Misc. Equipment
ETNYRE,Crawlers,Etnyre,Crawlers
ETNYRE,Misc. Equi,Etnyre,Misc. Equipment
ETON,44,Eton,ATV
ETON,Scooters,Eton,Scooters
EUCLID,Crawlers,Euclid,Crawlers
EUCLID,Loaders,Euclid,Loader
EUCLID,Scrapers,Euclid,Scraper
EUCLID,Tractors,Euclid,Tractor
EUCLID,Truck Unit,Euclid,Truck Unit
EUCLID,Wagons,Euclid,Wagon
EVINRUDE,Engines-Ma,Evinrude,Engine - Marine
EVINRUDE,Tilt & Tri,Evinrude,Tilt & Trim
FNM (CMD),Engines-Ma,FNM (CMD),Engine - Marine
EU FSO,5,FSO - Europe,Car
EU FSO LCV,7,FSO LCV - Europe,Van
FABTEK,Misc. Equi,Fabtek,Misc. Equipment
FAHR,16,Fahr,Combine
FAHR,18,Fahr,Windrower
FARYMAN,Engines-Ma,Faryman,Engine - Marine
886,Tractors A,Fendt,Tractor - Agricultural
FENNER,Hydraulic ,Fenner,Hydraulic Motor
FERMEC,Loaders BH,Fermec,Loader - Backhoe
FERMEC,Loaders TR,Fermec,Loader - Tractor
78,5,Ferrari,Car
EU FIAT,Buses,Fiat - Europe,Bus
EU FIAT,5,Fiat - Europe,Car
EU FIAT,HD TRUCK,Fiat - Europe,Heavy Duty
EU FIAT,Tractors,Fiat - Europe,Tractor
EU FIATLCV,7,Fiat LCV - Europe,Van
7,5,Fiat,Car
7,7,Fiat,Van
FIAT-ALLIS,Crawler Do,Fiat-Allis,Crawler Dozer
FIAT-ALLIS,Crawler Tr,Fiat-Allis,Crawler Tractor
FIAT-ALLIS,Crawlers,Fiat-Allis,Crawlers
FIAT-ALLIS,Excavators,Fiat-Allis,Excavator
FIAT-ALLIS,Graders,Fiat-Allis,Grader
FIAT-ALLIS,Loaders,Fiat-Allis,Loader
FIAT-ALLIS,Motor Grad,Fiat-Allis,Motor Grader
FIAT-ALLIS,Tractors,Fiat-Allis,Tractor
FIAT-ALLIS,Tractors A,Fiat-Allis,Tractor - Agricultural
FIAT-ALLIS,Tractor Sc,Fiat-Allis,Tractor Scraper
FIAT-ALLIS,Wheel Load,Fiat-Allis,Wheel Loader
FIAT-HESST,Tractors,Fiat-Hesston,Tractor
FIAT-HITAC,Excavators,Fiat-Hitachi,Excavator
FISHER,Plow Motor,Fisher,Plow Motor
FLAGSHIP,BOAT,Flagship,Boat
FLAHERTY,Misc. Equi,Flaherty,Misc. Equipment
FLEXI-COIL,Misc. Equi,Flexi-Coil,Misc. Equipment
FLEXTRAC,Misc. Equi,Flextrac Nodwell,Misc. Equipment
FLOYD,Misc. Equi,Floyd,Misc. Equipment
EU FODEN,HD TRUCK,Foden - Europe,Heavy Duty
FORCE,Engines-Ma,Force,Engine - Marine
FORCE,Tilt & Tri,Force,Tilt & Trim
EU FORD,5,Ford - Europe,Car
EU FORD,HD TRUCK,Ford - Europe,Heavy Duty
EU FORD,7,Ford - Europe,Van
FORD CASTO,Engines-Ma,Ford Castoldi,Engine - Marine
FORD FENWI,Engines-Ma,Ford Fenwick,Engine - Marine
FORD FORNA,Engines-Ma,Ford Fornaut,Engine - Marine
EU FORDLCV,5,Ford LCV - Europe,Car
EU FORDLCV,6,Ford LCV - Europe,Truck
EU FORDLCV,7,Ford LCV - Europe,Van
FORD M ENG,Engines-Ma,Ford Marine Engine,Engine - Marine
54,Backhoes,Ford,Backhoe
54,15,Ford,Baler
54,Buses,Ford,Bus
54,5,Ford,Car
54,16,Ford,Combine
54,Engines-Ma,Ford,Engine - Marine
54,Engines,Ford,Engine Medium Duty
54,Engines-In,Ford,Engines - Industrial
54,HD TRUCK,Ford,Heavy Duty
54,2187,Ford,Medium/Heavy Truck
54,SkidSteerL,Ford,Skid Steer Loader
54,Tractors C,Ford,Tractor - Compact
54,Tractors F,Ford,Tractor - Farm
54,Tractors I,Ford,Tractor - Industrial
